kills,deaths,assists,dealt,taken,heals,cs,vision,duration,win,opscore,dealt_per_minute,taken_per_minute,dealt_per_taken,champCode,id
3,6,7,9607,35035,17564,13,13,1716,1,10,0.0933,0.3403,0.2742,141,Kayn
12,3,5,14108,22527,12621,12,27,1338,1,10,0.1757,0.2806,0.6263,141,Kayn
19,3,7,36213,35198,20495,47,24,1773,1,4,0.3404,0.3309,1.0288,11,MasterYi
7,5,7,8847,19591,8785,10,3,1301,1,64,0.1133,0.2510,0.4516,54,Malphite
4,0,4,6378,30352,23529,12,29,1873,1,1,0.0568,0.2701,0.2101,64,LeeSin
8,2,3,8466,14831,9890,11,8,1062,1,1,0.1329,0.2328,0.5708,64,LeeSin
7,6,13,26990,43271,22158,33,34,2161,1,14,0.2082,0.3337,0.6237,517,Sylas
12,9,10,35997,39418,15700,41,43,1961,1,14,0.3059,0.3350,0.9132,517,Sylas
4,1,5,5815,10943,6931,0,9,966,1,21,0.1003,0.1888,0.5314,78,Poppy
5,3,7,8017,26298,16117,21,24,1272,1,40,0.1050,0.3446,0.3049,77,Udyr
10,4,1,16596,29965,10834,62,10,1365,1,4,0.2026,0.3659,0.5538,11,MasterYi
9,4,9,15651,23401,11089,17,14,1505,1,1,0.1733,0.2591,0.6688,64,LeeSin
15,7,4,43841,67330,42797,71,41,2009,1,10,0.3637,0.5586,0.6511,141,Kayn
7,10,10,23774,36483,13595,26,17,1994,1,40,0.1987,0.3049,0.6516,77,Udyr
10,3,16,26256,34349,21507,42,22,1807,1,5,0.2422,0.3168,0.7644,56,Nocturne
3,11,7,13574,47669,19934,45,37,2139,1,9,0.1058,0.3714,0.2848,121,Khazix
0,2,13,7439,12045,7830,8,33,1839,1,44,0.0674,0.1092,0.6176,427,Ivern
11,4,11,17655,37283,19129,33,20,1738,1,5,0.1693,0.3575,0.4735,56,Nocturne
15,5,9,30165,33334,16893,25,24,1483,1,8,0.3390,0.3746,0.9049,245,Ekko
1,4,2,2565,14247,11665,2,7,963,1,12,0.0444,0.2466,0.1800,233,Briar
5,1,10,11325,25304,15324,30,16,1626,1,26,0.1161,0.2594,0.4476,106,Volibear
4,9,8,19780,30326,12938,32,13,1808,1,19,0.1823,0.2796,0.6522,200,Belveth
4,3,6,9305,21411,13540,10,18,1284,1,1,0.1208,0.2779,0.4346,64,LeeSin
20,3,8,30911,23599,14047,40,9,1286,1,4,0.4006,0.3058,1.3098,11,MasterYi
8,11,14,16885,29178,7247,49,13,1852,1,7,0.1520,0.2626,0.5787,35,Shaco
0,0,0,0,285,214,0,0,109,1,12,0.0000,0.0436,0.0000,233,Briar
6,4,10,13529,27980,16832,10,24,1655,1,1,0.1362,0.2818,0.4835,64,LeeSin
13,7,12,20458,26803,12776,20,14,1453,1,3,0.2347,0.3074,0.7633,234,Viego
11,5,12,37275,52781,22505,135,43,2404,1,45,0.2584,0.3659,0.7062,102,Shyvana
4,3,11,9598,25590,16752,7,23,1301,1,1,0.1230,0.3278,0.3751,64,LeeSin
0,0,0,232,285,140,0,0,104,1,6,0.0372,0.0457,0.8140,76,Nidalee
11,6,7,18181,30889,14901,14,23,1563,1,5,0.1939,0.3294,0.5886,56,Nocturne
4,0,9,5428,11029,7808,8,9,923,1,13,0.0980,0.1992,0.4922,59,JarvanIV
6,1,16,14636,27097,14906,8,25,1649,1,34,0.1479,0.2739,0.5401,113,Sejuani
8,2,9,13468,26945,28966,4,13,1242,1,12,0.1807,0.3616,0.4998,233,Briar
0,1,4,1739,12634,8671,6,15,1028,1,86,0.0282,0.2048,0.1376,4,TwistedFate
13,2,2,27637,34225,21154,37,21,1868,1,69,0.2466,0.3054,0.8075,875,Sett
5,2,6,7205,22220,19561,17,26,1800,1,60,0.0667,0.2057,0.3243,2,Olaf
6,6,8,13507,37603,22256,15,17,1838,1,1,0.1225,0.3410,0.3592,64,LeeSin
6,4,16,14072,19042,2419,44,7,1205,1,103,0.1946,0.2634,0.7390,240,Kled
11,6,6,12461,38308,22115,19,17,1519,1,23,0.1367,0.4203,0.3253,19,Warwick
4,5,6,8575,33920,22743,8,13,1555,1,32,0.0919,0.3636,0.2528,20,Nunu
1,3,7,6783,22649,14193,28,16,1504,1,56,0.0752,0.2510,0.2995,25,Morgana
1,1,5,3637,20056,15469,19,11,1380,1,46,0.0439,0.2422,0.1813,48,Trundle
8,4,6,14060,28259,17171,12,27,1386,1,1,0.1691,0.3398,0.4975,64,LeeSin
9,2,9,21142,26316,17743,10,19,1326,1,22,0.2657,0.3308,0.8034,876,Lillia
8,0,3,10025,21377,15454,16,15,1308,1,1,0.1277,0.2724,0.4690,64,LeeSin
9,4,11,25926,15140,4856,16,20,1414,1,48,0.3056,0.1785,1.7124,17,Teemo
3,0,11,11824,14176,10844,21,17,1339,1,65,0.1472,0.1765,0.8341,143,Zyra
7,8,10,30510,42389,23455,49,20,1943,1,20,0.2617,0.3636,0.7198,5,XinZhao
11,7,14,35463,43752,21386,61,18,2262,1,2,0.2613,0.3224,0.8105,104,Graves
5,3,9,8807,15903,8994,12,12,1174,1,1,0.1250,0.2258,0.5538,64,LeeSin
23,6,8,55929,39508,17641,38,18,1929,1,9,0.4832,0.3414,1.4156,121,Khazix
0,0,0,89,567,120,0,0,105,1,33,0.0141,0.0900,0.1570,203,Kindred
11,3,10,18623,33731,20500,22,27,1896,1,23,0.1637,0.2965,0.5521,19,Warwick
7,7,16,37002,54242,28354,45,32,2554,1,36,0.2415,0.3540,0.6822,32,Amumu
3,4,3,6857,30713,17111,15,23,1813,1,1,0.0630,0.2823,0.2233,64,LeeSin
6,3,7,15252,28944,12439,21,21,1636,1,14,0.1554,0.2949,0.5269,517,Sylas
13,6,5,19634,20143,8332,11,11,1225,1,1,0.2671,0.2741,0.9747,64,LeeSin
1,2,3,4272,14790,9573,9,8,964,1,10,0.0739,0.2557,0.2888,141,Kayn
9,5,7,13908,27461,15656,10,10,1509,1,3,0.1536,0.3033,0.5065,234,Viego
0,6,5,7375,21656,9112,23,10,1171,1,77,0.1050,0.3082,0.3406,145,Kaisa
10,7,7,20337,24516,11632,40,18,1422,1,10,0.2384,0.2873,0.8295,141,Kayn
2,2,6,5339,11675,4863,7,4,934,1,30,0.0953,0.2083,0.4573,131,Diana
8,1,5,8763,15522,8177,8,7,997,1,36,0.1465,0.2595,0.5646,32,Amumu
2,5,6,11876,32419,17504,22,20,1749,1,29,0.1132,0.3089,0.3663,79,Gragas
5,2,4,8954,25374,16064,9,19,1505,1,29,0.0992,0.2810,0.3529,79,Gragas
8,3,10,23382,36357,20492,46,42,2088,1,9,0.1866,0.2902,0.6431,121,Khazix
19,5,16,44117,59615,62247,35,23,2221,1,12,0.3311,0.4474,0.7400,233,Briar
18,4,13,34010,17630,4339,22,30,1391,1,75,0.4075,0.2112,1.9291,7,Leblanc
17,2,8,24856,14362,6810,27,19,1362,1,17,0.3042,0.1757,1.7307,163,Taliyah
8,2,7,16055,32581,23311,18,21,1743,1,22,0.1535,0.3115,0.4928,876,Lillia
