kills,deaths,assists,dealt,taken,heals,cs,vision,duration,win,opscore,dealt_per_minute,taken_per_minute,dealt_per_taken,champCode,id
1,9,13,16177,21705,1146,53,49,1716,1,35,0.1571,0.2108,0.7453,74,Heimerdinger
2,3,15,11410,10854,1127,31,58,1338,1,18,0.1421,0.1352,1.0512,22,Ashe
2,4,18,8121,11930,2271,21,42,1773,1,12,0.0763,0.1121,0.6807,117,Lulu
10,8,14,13717,17184,2204,24,16,1301,1,5,0.1757,0.2201,0.7982,555,Pyke
1,9,29,19729,32263,3855,24,56,1873,1,11,0.1756,0.2871,0.6115,89,Leona
2,1,7,5999,6423,761,20,29,1062,1,10,0.0941,0.1008,0.9340,43,Karma
3,7,16,27319,22591,1206,39,69,2161,1,22,0.2107,0.1742,1.2093,63,Brand
1,7,31,12289,30185,3950,14,46,1961,1,2,0.1044,0.2565,0.4071,53,Blitzcrank
3,4,9,5940,9780,200,19,33,966,1,4,0.1025,0.1687,0.6074,111,Nautilus
0,7,7,10189,17466,2324,21,26,1272,1,14,0.1335,0.2289,0.5834,25,Morgana
4,4,14,8254,15022,1651,32,22,1365,1,4,0.1008,0.1834,0.5495,111,Nautilus
5,7,8,11116,14258,30,53,45,1505,1,41,0.1231,0.1579,0.7796,54,Malphite
7,6,13,37177,19475,266,69,68,2009,1,99,0.3084,0.1616,1.9090,711,Vex
9,7,11,21129,16413,939,26,64,1994,1,8,0.1766,0.1372,1.2873,101,Xerath
11,6,19,36379,16189,981,62,63,1807,1,3,0.3355,0.1493,2.2471,99,Lux
10,16,8,19786,35223,2534,54,70,2139,1,27,0.1542,0.2745,0.5617,80,Pantheon
1,3,11,11477,11729,2756,26,55,1839,1,10,0.1040,0.1063,0.9785,43,Karma
5,6,13,9287,22506,1516,12,52,1738,1,4,0.0891,0.2158,0.4126,111,Nautilus
4,4,19,17459,13302,1486,15,31,1483,1,8,0.1962,0.1495,1.3125,101,Xerath
3,3,3,4374,9599,0,13,20,963,1,1,0.0757,0.1661,0.4557,412,Thresh
9,5,10,30005,14524,979,37,66,1626,1,46,0.3076,0.1489,2.0659,17,Teemo
6,7,17,25862,24724,5230,30,56,1808,1,14,0.2384,0.2279,1.0460,25,Morgana
4,3,17,16386,14004,2862,31,36,1284,1,17,0.2127,0.1818,1.1701,143,Zyra
9,0,8,11440,11729,2030,42,6,1286,1,56,0.1483,0.1520,0.9754,14,Sion
3,12,15,9229,31845,1771,18,0,1852,1,11,0.0831,0.2866,0.2898,89,Leona
2,6,9,5653,14981,1751,28,31,1655,1,1,0.0569,0.1509,0.3773,412,Thresh
3,4,23,22530,14041,2629,26,53,1453,1,8,0.2584,0.1611,1.6046,101,Xerath
1,8,11,7640,26602,2869,61,42,2404,1,18,0.0530,0.1844,0.2872,22,Ashe
5,0,15,12123,4461,1107,33,47,1301,1,18,0.1553,0.0571,2.7176,22,Ashe
0,0,0,176,92,19,0,0,104,1,20,0.0282,0.0147,1.9130,50,Swain
0,4,28,13557,11710,3296,44,60,1563,1,32,0.1446,0.1249,1.1577,147,Seraphine
0,0,14,4151,3281,2730,15,20,923,1,7,0.0750,0.0592,1.2652,235,Senna
6,5,10,18347,11371,8759,38,74,1649,1,7,0.1854,0.1149,1.6135,235,Senna
2,6,7,9065,13061,698,28,15,1242,1,2,0.1216,0.1753,0.6941,53,Blitzcrank
1,2,2,6503,6536,448,22,19,1028,1,44,0.1054,0.1060,0.9950,45,Veigar
12,3,15,28423,24123,1692,91,50,1868,1,41,0.2536,0.2152,1.1783,54,Malphite
2,11,5,9886,22577,1948,26,55,1800,1,41,0.0915,0.2090,0.4379,54,Malphite
3,8,5,7486,16385,673,29,32,1838,1,3,0.0679,0.1486,0.4569,99,Lux
4,3,12,12129,12401,4917,124,8,1205,1,128,0.1678,0.1715,0.9781,114,Fiora
